taxonKey;scientificName;acceptedTaxonKey;acceptedScientificName;numberOfOccurrences;taxonRank;taxonomicStatus;kingdom;kingdomKey;phylum;phylumKey;class;classKey;order;orderKey;family;familyKey;genus;genusKey;species;speciesKey;iucnRedListCategory
2490754;Turdus obsoletus Lawrence, 1862;2490754;Turdus obsoletus Lawrence, 1862;10321;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Turdidae;5290;Turdus;2490714;Turdus obsoletus;2490754;LC
2491380;Sporophila plumbea (Wied-Neuwied, 1830);2491380;Sporophila plumbea (Wied-Neuwied, 1830);6402;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Sporophila;2491308;Sporophila plumbea;2491380;LC
2491658;Melanodera melanodera (Quoy & Gaimard, 1824);2491658;Melanodera melanodera (Quoy & Gaimard, 1824);4502;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Melanodera;2491654;Melanodera melanodera;2491658;LC
2491872;Passerella iliaca (Merrem, 1786);2491872;Passerella iliaca (Merrem, 1786);1460944;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Passerellidae;9410667;Passerella;2491871;Passerella iliaca;2491872;LC
2494036;Ploceus manyar (Horsfield, 1821);2494036;Ploceus manyar (Horsfield, 1821);16366;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Ploceidae;9336;Ploceus;2494008;Ploceus manyar;2494036;LC
5228199;Gallinula chloropus (Linnaeus, 1758);5228199;Gallinula chloropus (Linnaeus, 1758);1214706;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Gruiformes;1493;Rallidae;9342;Gallinula;7918617;Gallinula chloropus;5228199;LC
5228524;Eriocnemis vestita (R.Lesson, 1839);5228524;Eriocnemis vestita (R.Lesson, 1839);11132;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Eriocnemis;2476643;Eriocnemis vestita;5228524;LC
5228538;Eriocnemis derbyi (Delattre & Bourcier, 1846);5228538;Eriocnemis derbyi (Delattre & Bourcier, 1846);3506;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Eriocnemis;2476643;Eriocnemis derbyi;5228538;NT
5229377;Puffinus yelkouan (Acerbi, 1827);5229377;Puffinus yelkouan (Acerbi, 1827);9961;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Procellariiformes;7192755;Procellariidae;9339;Puffinus;5229335;Puffinus yelkouan;5229377;VU
5232096;Glaucidium tephronotum Sharpe, 1875;5232096;Glaucidium tephronotum Sharpe, 1875;601;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Strigiformes;1450;Strigidae;9348;Glaucidium;2497151;Glaucidium tephronotum;5232096;LC
5846197;Iole palawanensis (Tweeddale, 1878);5846197;Iole palawanensis (Tweeddale, 1878);799;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Pycnonotidae;5277;Iole;2486181;Iole palawanensis;5846197;LC
6093507;Cissomela pectoralis (Gould, 1841);6093507;Cissomela pectoralis (Gould, 1841);6285;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Meliphagidae;9319;Cissomela;7861030;Cissomela pectoralis;6093507;LC
6100743;Tanysiptera nigriceps P.L.Sclater, 1877;6100743;Tanysiptera nigriceps P.L.Sclater, 1877;243;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Coraciiformes;1447;Alcedinidae;2984;Tanysiptera;2475618;Tanysiptera nigriceps;6100743;LC
7341580;Sturnia malabarica (Gmelin, 1789);7341580;Sturnia malabarica (Gmelin, 1789);101414;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Sturnidae;9350;Sturnia;7341571;Sturnia malabarica;7341580;LC
7342252;Symposiachrus infelix (P.L.Sclater, 1877);7342252;Symposiachrus infelix (P.L.Sclater, 1877);36;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Monarchidae;5256;Symposiachrus;5429232;Symposiachrus infelix;7342252;NT
7581340;Mixornis kelleyi Delacour, 1932;6100834;Macronus kelleyi (Delacour, 1932);1331;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Timaliidae;3241609;Macronus;7631635;Macronus kelleyi;6100834;LC
10095118;Microcarbo pygmaeus (Pallas, 1773);10095118;Microcarbo pygmaeus (Pallas, 1773);59651;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Suliformes;7192775;Phalacrocoracidae;5268;Microcarbo;8296977;Microcarbo pygmaeus;10095118;LC
11023781;Saucerottia cyanura (Gould, 1859);11023781;Saucerottia cyanura (Gould, 1859);5348;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Saucerottia;4849102;Saucerottia cyanura;11023781;NE
12165644;Rhopospina caerulescens (Wied-Neuwied, 1830);2491830;Porphyrospiza caerulescens (Wied-Neuwied, 1830);1663;SPECIES;SYNONYM;Animalia;1;Chordata;44;Aves;212;Passeriformes;729;Thraupidae;9352;Porphyrospiza;2491829;Porphyrospiza caerulescens;2491830;NE
2476380;Eutoxeres aquila (Bourcier, 1847);2476380;Eutoxeres aquila (Bourcier, 1847);7374;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Apodiformes;1448;Trochilidae;5289;Eutoxeres;2476376;Eutoxeres aquila;2476380;LC
2479469;Hapalopsittaca melanotis (Lafresnaye, 1847);2479469;Hapalopsittaca melanotis (Lafresnaye, 1847);281;SPECIES;ACCEPTED;Animalia;1;Chordata;44;Aves;212;Psittaciformes;1445;Psittacidae;9340;Hapalopsittaca;2479468;Hapalopsittaca melanotis;2479469;LC
